                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.58719,                0.61648,                  1.105,                 0.8138,                0.91495,                0.93013,                0.84142,                0.44879,                0.98603,                0.98729,              0.0019327,              0.0019327,              0.0019327
                     36,                0.58691,                0.60182,                 1.0973,                0.86183,                0.90722,                 0.9533,                0.86843,                0.46195,                0.81195,                0.98672,              0.0019307,              0.0019307,              0.0019307
                     37,                0.58184,                0.59782,                 1.1017,                0.91598,                0.91495,                0.96951,                0.88201,                 0.4419,                0.57377,                0.98203,              0.0019287,              0.0019287,              0.0019287
                     38,                0.58921,                0.56789,                 1.0995,                0.88252,                0.92935,                0.96032,                0.84577,                0.54714,                0.68682,                 1.0367,              0.0019267,              0.0019267,              0.0019267
                     39,                 0.5594,                 0.5663,                 1.0872,                0.89224,                0.94072,                0.94665,                0.87798,                0.40832,                0.59667,                0.96044,              0.0019248,              0.0019248,              0.0019248
                     40,                0.56022,                0.55318,                 1.0711,                0.92444,                0.91438,                0.96909,                0.89556,                0.42831,                0.53166,                0.96867,              0.0019228,              0.0019228,              0.0019228
                     41,                0.56797,                0.56434,                 1.0858,                0.90289,                0.93459,                 0.9622,                0.86667,                0.49617,                 0.5889,                 0.9944,              0.0019208,              0.0019208,              0.0019208
                     42,                0.56302,                 0.5462,                 1.0814,                0.86818,                0.86598,                0.94241,                0.85641,                0.44716,                 0.5555,                0.98411,              0.0019188,              0.0019188,              0.0019188
                     43,                  0.558,                0.52169,                 1.0672,                0.90893,                 0.8866,                0.95312,                 0.8806,                0.39906,                0.51176,                0.95221,              0.0019168,              0.0019168,              0.0019168
                     44,                0.55236,                0.54027,                 1.0847,                0.82082,                0.93557,                0.95093,                0.87724,                0.41644,                0.53759,                0.96162,              0.0019149,              0.0019149,              0.0019149
                     45,                 0.5399,                0.54386,                 1.0725,                0.92087,                0.95976,                0.98167,                0.89749,                0.44106,                0.39481,                0.97228,              0.0019129,              0.0019129,              0.0019129
