                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.55123,                0.66391,                0.96382,                0.86846,                0.85431,                0.90765,                0.83002,                0.43446,                0.56209,                0.92741,              0.0016109,              0.0016109,              0.0016109
                     36,                0.54857,                0.66547,                0.96251,                0.87564,                0.92005,                0.94265,                0.85431,                0.44102,                0.49119,                0.93159,              0.0016092,              0.0016092,              0.0016092
                     37,                0.55342,                0.64296,                0.95499,                0.91211,                0.92662,                0.96202,                0.86746,                0.44998,                0.46115,                0.93042,              0.0016076,              0.0016076,              0.0016076
                     38,                0.53439,                0.64238,                0.94349,                0.77225,                0.76693,                0.86846,                0.79513,                0.44829,                0.84626,                0.92528,              0.0016059,              0.0016059,              0.0016059
                     39,                0.55098,                0.66374,                  0.945,                0.85693,                0.80825,                 0.9123,                0.80628,                0.50896,                0.59143,                0.95092,              0.0016043,              0.0016043,              0.0016043
                     40,                0.51254,                0.63607,                0.93874,                0.93468,                0.84414,                 0.9541,                0.87461,                0.40812,                0.47511,                0.91233,              0.0016026,              0.0016026,              0.0016026
                     41,                0.50357,                0.59719,                0.92918,                0.91317,                0.87782,                0.94803,                0.85135,                0.44888,                0.53962,                 0.9447,               0.001601,               0.001601,               0.001601
                     42,                0.51226,                0.60946,                0.93531,                 0.8434,                0.87732,                0.92023,                0.85501,                0.39925,                0.49482,                0.89911,              0.0015993,              0.0015993,              0.0015993
                     43,                0.50686,                 0.5854,                0.92639,                0.89389,                0.90556,                0.95349,                0.86901,                0.42009,                0.44235,                0.90729,              0.0015977,              0.0015977,              0.0015977
                     44,                0.50474,                0.54081,                0.91799,                0.90835,                0.84777,                0.93136,                0.86637,                0.37843,                0.50203,                0.89227,               0.001596,               0.001596,               0.001596
                     45,                0.49864,                0.57393,                0.92487,                0.94019,                0.89597,                0.95159,                0.85841,                0.44169,                0.46964,                0.92038,              0.0015944,              0.0015944,              0.0015944
                     46,                0.49524,                0.54918,                0.91945,                0.81108,                0.89455,                0.91949,                0.83263,                0.45117,                0.57834,                0.91621,              0.0015927,              0.0015927,              0.0015927
                     47,                0.48994,                0.56065,                0.91892,                0.83354,                0.92672,                0.95703,                0.88125,                0.41327,                0.45953,                0.91025,              0.0015911,              0.0015911,              0.0015911
                     48,                 0.4696,                0.53232,                0.91092,                0.92053,                 0.9059,                0.95751,                0.88292,                0.38602,                0.41546,                0.89778,              0.0015894,              0.0015894,              0.0015894
                     49,                0.48491,                0.55142,                0.90911,                  0.862,                0.89296,                0.94662,                0.87452,                0.40064,                0.46929,                0.90424,              0.0015878,              0.0015878,              0.0015878
                     50,                0.48197,                0.53383,                0.91807,                0.92554,                0.89759,                0.97499,                0.89977,                0.38516,                0.42522,                0.89764,              0.0015861,              0.0015861,              0.0015861
                     51,                0.48479,                0.53521,                0.91359,                0.89813,                0.92364,                0.96066,                0.89309,                0.37967,                0.41812,                0.90196,              0.0015845,              0.0015845,              0.0015845
                     52,                0.47563,                0.52973,                0.90236,                0.86183,                0.89777,                0.94437,                0.87112,                0.41204,                0.50898,                0.90799,              0.0015828,              0.0015828,              0.0015828
                     53,                0.47589,                0.52374,                0.91053,                0.92771,                0.94538,                0.97909,                0.91602,                0.36757,                0.35549,                0.88794,              0.0015812,              0.0015812,              0.0015812
                     54,                0.47187,                0.54911,                0.91092,                0.87331,                0.94162,                0.96188,                0.89737,                0.36785,                0.39709,                0.88937,              0.0015795,              0.0015795,              0.0015795
                     55,                0.45966,                0.51704,                0.90832,                0.90662,                0.88627,                0.95828,                0.87492,                0.41932,                0.44716,                0.91453,              0.0015779,              0.0015779,              0.0015779
                     56,                0.47779,                0.52636,                 0.9061,                0.91553,                0.87871,                0.94175,                0.87438,                0.39355,                0.43861,                0.89399,              0.0015762,              0.0015762,              0.0015762
                     57,                0.46444,                0.50991,                0.90401,                0.91355,                0.92863,                0.95704,                0.88651,                0.38847,                0.39228,                0.89308,              0.0015746,              0.0015746,              0.0015746
                     58,                0.47527,                0.51862,                0.90926,                0.81061,                0.86959,                0.89531,                0.83427,                0.37032,                 0.4981,                0.89399,              0.0015729,              0.0015729,              0.0015729
                     59,                0.47778,                0.51559,                0.90757,                0.92531,                0.93101,                0.96613,                0.91194,                 0.3528,                0.37816,                0.88406,              0.0015713,              0.0015713,              0.0015713
                     60,                0.44983,                0.49933,                0.90301,                0.92313,                0.88035,                0.94401,                0.88098,                 0.3771,                 0.4327,                0.88426,              0.0015696,              0.0015696,              0.0015696
                     61,                0.44335,                0.49126,                0.89032,                0.94404,                0.92511,                0.97899,                 0.9077,                0.38247,                0.37352,                0.88882,               0.001568,               0.001568,               0.001568
                     62,                0.45529,                0.49438,                0.90339,                0.86647,                0.93553,                0.97114,                0.88695,                0.42374,                0.41673,                0.90275,              0.0015663,              0.0015663,              0.0015663
                     63,                0.45187,                0.49927,                0.89925,                0.95103,                0.94504,                0.98037,                0.90783,                0.38858,                0.37535,                0.89191,              0.0015647,              0.0015647,              0.0015647
                     64,                0.47071,                0.49309,                 0.9005,                0.89561,                0.92604,                0.95272,                0.88136,                0.38982,                0.44269,                0.89352,               0.001563,               0.001563,               0.001563
                     65,                0.46093,                0.50638,                0.90753,                0.90295,                0.95995,                0.95993,                0.89229,                0.38545,                0.37904,                  0.888,              0.0015614,              0.0015614,              0.0015614
                     66,                0.44046,                0.48382,                0.89727,                0.92774,                0.93921,                0.97518,                0.91311,                0.38006,                0.35195,                0.88701,              0.0015597,              0.0015597,              0.0015597
                     67,                0.45303,                0.48007,                0.89417,                0.94435,                 0.9199,                0.97793,                0.90348,                0.40189,                0.35953,                 0.8974,              0.0015581,              0.0015581,              0.0015581
                     68,                0.43745,                0.47903,                0.88817,                0.93067,                0.92646,                0.97316,                0.89494,                0.39511,                0.41095,                0.89347,              0.0015564,              0.0015564,              0.0015564
                     69,                0.44725,                0.48613,                0.89038,                0.87142,                0.92203,                0.95476,                0.89046,                0.37001,                0.41729,                0.88379,              0.0015548,              0.0015548,              0.0015548
                     70,                0.45083,                0.48546,                0.89791,                0.93681,                0.93662,                0.98327,                0.90847,                0.39147,                0.36018,                0.88928,              0.0015531,              0.0015531,              0.0015531
                     71,                0.44028,                0.47401,                0.89188,                0.93595,                0.88604,                0.96921,                0.90197,                0.38098,                0.39092,                0.88873,              0.0015515,              0.0015515,              0.0015515
                     72,                0.42982,                0.46294,                0.88835,                0.88622,                0.88976,                0.96947,                0.91305,                0.36328,                0.43462,                0.88426,              0.0015498,              0.0015498,              0.0015498
                     73,                0.44883,                0.47866,                0.89971,                0.92561,                0.92061,                0.97285,                0.91902,                0.35892,                0.38663,                0.87741,              0.0015482,              0.0015482,              0.0015482
                     74,                 0.4359,                0.45583,                0.88564,                0.93992,                0.93863,                0.98497,                0.92343,                0.36999,                0.33641,                0.88471,              0.0015465,              0.0015465,              0.0015465
                     75,                0.43654,                0.46057,                 0.8942,                0.93695,                0.94693,                0.98178,                0.92327,                0.34413,                0.32277,                0.87312,              0.0015449,              0.0015449,              0.0015449
                     76,                0.42433,                0.46446,                0.89436,                 0.9202,                   0.95,                0.96863,                0.91007,                 0.3496,                0.35065,                0.87869,              0.0015432,              0.0015432,              0.0015432
                     77,                0.43824,                 0.4582,                  0.888,                 0.9011,                0.94637,                0.97718,                0.92154,                0.34762,                0.38192,                0.87372,              0.0015416,              0.0015416,              0.0015416
                     78,                0.43888,                0.44541,                0.88946,                0.92559,                 0.9615,                0.97986,                0.91497,                0.35728,                0.33519,                0.87901,              0.0015399,              0.0015399,              0.0015399
                     79,                0.44906,                0.45301,                0.89286,                0.93228,                0.94474,                0.97607,                0.91053,                0.35642,                0.33152,                0.87779,              0.0015383,              0.0015383,              0.0015383
                     80,                0.42937,                0.45466,                0.89206,                0.91501,                0.95448,                0.97485,                0.90893,                0.36802,                0.34232,                0.87938,              0.0015366,              0.0015366,              0.0015366
