                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.55355,                0.75043,                 1.1044,                0.76601,                0.82653,                0.91089,                0.82375,                0.44726,                0.76314,                0.99511,              0.0016109,              0.0016109,              0.0016109
                     36,                0.55494,                 0.7146,                 1.0894,                0.89691,                0.84551,                0.92751,                0.84622,                 0.4316,                0.55296,                0.99443,              0.0016092,              0.0016092,              0.0016092
                     37,                0.55292,                  0.715,                 1.0936,                0.87794,                0.91045,                0.92406,                0.82526,                0.51075,                0.53957,                 1.0267,              0.0016076,              0.0016076,              0.0016076
                     38,                0.52539,                0.68715,                 1.0725,                0.94977,                0.85389,                0.95861,                0.85438,                0.49061,                0.49259,                 1.0192,              0.0016059,              0.0016059,              0.0016059
                     39,                0.54883,                0.70832,                 1.0878,                0.83884,                0.70456,                0.82744,                 0.7512,                0.43642,                0.75341,                 1.0073,              0.0016043,              0.0016043,              0.0016043
                     40,                0.53179,                0.68865,                 1.0739,                0.89129,                0.85747,                0.93116,                0.83239,                0.46322,                0.54797,                 1.0074,              0.0016026,              0.0016026,              0.0016026
                     41,                0.52924,                0.68731,                 1.0701,                0.84262,                0.83664,                0.87199,                0.80557,                0.40947,                0.58987,                0.97557,               0.001601,               0.001601,               0.001601
                     42,                0.51458,                0.66383,                 1.0658,                0.85668,                0.88197,                0.91536,                0.83514,                0.45035,                0.55481,                0.98746,              0.0015993,              0.0015993,              0.0015993
                     43,                0.53634,                0.66491,                 1.0718,                0.76217,                0.74394,                0.87432,                0.79961,                0.45132,                0.72872,                0.98973,              0.0015977,              0.0015977,              0.0015977
                     44,                0.51832,                 0.6358,                 1.0552,                0.92694,                0.83956,                0.93314,                0.86298,                0.38773,                0.50125,                0.95398,               0.001596,               0.001596,               0.001596
                     45,                0.50823,                0.63297,                  1.045,                0.91238,                0.89306,                0.96374,                0.89057,                0.37761,                 0.4516,                0.94435,              0.0015944,              0.0015944,              0.0015944
                     46,                  0.492,                0.61321,                  1.038,                0.86317,                0.95394,                0.95059,                0.87698,                0.40768,                0.46827,                0.96423,              0.0015927,              0.0015927,              0.0015927
                     47,                0.49735,                 0.6279,                 1.0458,                0.82516,                0.85234,                 0.8888,                0.81653,                0.42241,                0.58524,                0.96223,              0.0015911,              0.0015911,              0.0015911
                     48,                0.50115,                0.63213,                 1.0438,                0.86201,                 0.8586,                0.92249,                0.84413,                0.41619,                0.51629,                0.96102,              0.0015894,              0.0015894,              0.0015894
                     49,                0.53043,                0.60017,                  1.053,                0.85204,                0.90465,                0.93871,                0.85603,                0.44953,                0.50792,                0.98705,              0.0015878,              0.0015878,              0.0015878
                     50,                0.52404,                  0.606,                  1.064,                0.84816,                0.78111,                0.87624,                0.80101,                0.41266,                0.56998,                0.96473,              0.0015861,              0.0015861,              0.0015861
                     51,                0.53873,                0.61178,                 1.0683,                0.91961,                0.90167,                0.95383,                0.86879,                0.42505,                0.45681,                0.97023,              0.0015845,              0.0015845,              0.0015845
                     52,                0.50194,                0.59602,                 1.0395,                0.89638,                0.83941,                 0.9241,                0.84393,                0.43496,                0.59481,                0.96869,              0.0015828,              0.0015828,              0.0015828
                     53,                0.49033,                0.59122,                 1.0367,                0.88116,                0.73015,                0.88496,                0.82648,                0.38608,                0.60403,                0.94949,              0.0015812,              0.0015812,              0.0015812
                     54,                 0.5031,                0.59147,                 1.0472,                0.84822,                0.89963,                0.94108,                0.87451,                0.39347,                 0.4677,                0.95296,              0.0015795,              0.0015795,              0.0015795
                     55,                0.48336,                0.57279,                 1.0288,                0.88902,                 0.9183,                0.95649,                0.85648,                0.49066,                0.48702,                 1.0076,              0.0015779,              0.0015779,              0.0015779
                     56,                0.49325,                0.56737,                 1.0325,                0.83395,                0.92012,                0.93997,                0.86331,                0.41539,                0.49482,                0.95138,              0.0015762,              0.0015762,              0.0015762
                     57,                0.47417,                0.55387,                 1.0254,                0.85647,                 0.8705,                0.90695,                0.84006,                0.38903,                0.48321,                0.95318,              0.0015746,              0.0015746,              0.0015746
                     58,                0.48058,                0.57749,                 1.0276,                0.78635,                0.84343,                0.90908,                0.85376,                0.37873,                0.77827,                0.93902,              0.0015729,              0.0015729,              0.0015729
                     59,                0.47679,                0.59366,                 1.0239,                0.93816,                0.90675,                0.96714,                 0.9023,                0.37351,                0.41101,                0.94255,              0.0015713,              0.0015713,              0.0015713
                     60,                 0.4566,                0.53923,                  1.013,                 0.9595,                0.86113,                0.96464,                0.89238,                0.39006,                 0.4146,                0.94969,              0.0015696,              0.0015696,              0.0015696
                     61,                 0.4569,                0.55602,                 1.0082,                0.91818,                0.92743,                 0.9656,                0.89579,                0.40633,                0.40018,                0.94758,               0.001568,               0.001568,               0.001568
                     62,                0.46944,                0.56008,                 1.0156,                0.85213,                0.87887,                0.93963,                0.86421,                0.41334,                0.51332,                0.95497,              0.0015663,              0.0015663,              0.0015663
                     63,                0.47713,                0.55154,                 1.0181,                0.85423,                 0.8757,                0.93918,                0.87061,                0.41411,                0.45641,                0.95359,              0.0015647,              0.0015647,              0.0015647
                     64,                0.46969,                0.54315,                 1.0024,                0.85343,                0.90172,                0.91405,                0.84237,                0.39877,                0.48611,                0.95354,               0.001563,               0.001563,               0.001563
                     65,                0.45582,                0.56615,                 1.0093,                0.83383,                  0.856,                0.89858,                0.83906,                0.38062,                0.50825,                0.93926,              0.0015614,              0.0015614,              0.0015614
                     66,                0.45145,                0.54941,                 1.0016,                0.87599,                0.93317,                0.92928,                0.86921,                0.36283,                0.53367,                0.92553,              0.0015597,              0.0015597,              0.0015597
                     67,                0.46039,                0.55423,                 1.0078,                0.88912,                0.89238,                0.96289,                0.88378,                0.42609,                0.47111,                  0.974,              0.0015581,              0.0015581,              0.0015581
                     68,                0.45219,                0.52842,                 1.0056,                 0.9115,                0.84358,                0.94479,                0.87282,                0.37856,                0.47861,                0.93325,              0.0015564,              0.0015564,              0.0015564
                     69,                0.46465,                0.53178,                 1.0098,                0.93266,                0.93378,                 0.9692,                0.89233,                0.39967,                0.38444,                0.94768,              0.0015548,              0.0015548,              0.0015548
                     70,                0.46383,                0.53005,                 1.0091,                0.95303,                0.93644,                0.97661,                0.89896,                0.40352,                0.35815,                0.94657,              0.0015531,              0.0015531,              0.0015531
                     71,                0.46787,                0.52942,                 1.0073,                0.85842,                 0.9359,                0.95592,                0.88437,                0.39755,                 0.4106,                0.94026,              0.0015515,              0.0015515,              0.0015515
                     72,                0.45983,                0.51488,                 1.0112,                0.88237,                0.92772,                0.97007,                 0.8863,                0.41647,                0.41055,                0.95057,              0.0015498,              0.0015498,              0.0015498
                     73,                0.45422,                0.50828,                 1.0156,                0.90691,                0.89548,                0.96474,                0.90616,                0.38004,                0.44239,                0.92968,              0.0015482,              0.0015482,              0.0015482
                     74,                0.43868,                0.51141,                0.99006,                0.93616,                0.93236,                0.97531,                0.90873,                0.37794,                0.35433,                0.93371,              0.0015465,              0.0015465,              0.0015465
                     75,                  0.448,                0.51423,                 1.0035,                0.93597,                0.94515,                0.97549,                0.91596,                0.36439,                0.36615,                0.92805,              0.0015449,              0.0015449,              0.0015449
                     76,                0.44365,                0.51107,                0.99994,                0.91986,                0.94918,                0.97316,                0.90837,                0.36252,                0.34366,                  0.927,              0.0015432,              0.0015432,              0.0015432
                     77,                0.43265,                0.48986,                0.98869,                0.93387,                0.95547,                0.97971,                0.91483,                0.37471,                0.36285,                0.93635,              0.0015416,              0.0015416,              0.0015416
                     78,                0.44001,                0.49094,                0.99198,                 0.8719,                0.93293,                0.96117,                 0.9097,                0.34949,                0.41402,                0.91507,              0.0015399,              0.0015399,              0.0015399
                     79,                0.44848,                0.49998,                 1.0034,                0.94506,                0.94229,                0.98405,                0.91688,                0.37223,                0.34767,                0.93452,              0.0015383,              0.0015383,              0.0015383
                     80,                 0.4419,                0.50752,                0.99961,                0.93411,                0.91973,                0.96537,                0.90291,                0.37135,                0.37748,                0.93553,              0.0015366,              0.0015366,              0.0015366
                     81,                0.44725,                0.47419,                0.99194,                0.91214,                0.90224,                0.94705,                0.88003,                0.36639,                0.40587,                0.93348,               0.001535,               0.001535,               0.001535
                     82,                 0.4469,                0.49697,                0.99353,                0.93375,                0.92145,                0.97727,                0.92368,                0.35829,                0.34989,                0.92461,              0.0015333,              0.0015333,              0.0015333
                     83,                0.42024,                0.46956,                0.98225,                0.93728,                0.91866,                0.97021,                0.91712,                 0.3591,                0.35299,                0.92216,              0.0015317,              0.0015317,              0.0015317
                     84,                0.43454,                0.49349,                0.98528,                0.91324,                0.92159,                0.95926,                0.88983,                0.39191,                0.39105,                0.94065,                0.00153,                0.00153,                0.00153
                     85,                0.43825,                0.47432,                 0.9922,                0.92824,                0.93651,                0.97095,                0.91947,                0.37487,                0.36256,                0.92787,              0.0015284,              0.0015284,              0.0015284
                     86,                0.43207,                0.49138,                0.98631,                0.92705,                0.94648,                0.96785,                0.89685,                0.37718,                0.35662,                0.94606,              0.0015267,              0.0015267,              0.0015267
                     87,                0.43393,                  0.473,                0.98515,                0.91789,                0.94229,                0.97184,                0.92112,                0.35602,                0.35847,                0.92542,              0.0015251,              0.0015251,              0.0015251
                     88,                0.43121,                0.46908,                0.98889,                0.91988,                0.94489,                0.96944,                0.90404,                0.37726,                0.37966,                0.93577,              0.0015234,              0.0015234,              0.0015234
                     89,                0.42578,                0.46506,                0.98215,                0.90291,                0.98162,                0.97375,                0.91333,                0.37624,                0.36028,                0.93244,              0.0015218,              0.0015218,              0.0015218
                     90,                0.42871,                0.45801,                0.98938,                0.89622,                0.92884,                0.96246,                0.90282,                0.36181,                0.42148,                0.93014,              0.0015201,              0.0015201,              0.0015201
                     91,                0.42528,                0.45335,                0.98506,                0.88033,                0.95369,                  0.973,                 0.9152,                0.36738,                0.37334,                 0.9271,              0.0015185,              0.0015185,              0.0015185
                     92,                 0.4157,                0.46105,                 0.9756,                0.89686,                0.97226,                0.97893,                0.93604,                0.33416,                0.35832,                0.90927,              0.0015168,              0.0015168,              0.0015168
                     93,                0.41067,                 0.4607,                0.97452,                0.93404,                0.93122,                0.98017,                0.92413,                0.34896,                0.37542,                0.92023,              0.0015152,              0.0015152,              0.0015152
                     94,                0.42026,                0.45356,                0.97581,                0.92467,                0.95126,                0.97337,                0.91373,                0.35887,                0.34328,                0.91943,              0.0015135,              0.0015135,              0.0015135
                     95,                 0.4159,                0.42845,                0.96767,                0.96436,                0.94278,                0.98819,                0.93949,                0.34669,                0.31519,                0.90597,              0.0015119,              0.0015119,              0.0015119
                     96,                0.40537,                0.44012,                0.96591,                0.91782,                0.95939,                0.97082,                0.90669,                0.37325,                 0.3545,                0.93405,              0.0015102,              0.0015102,              0.0015102
                     97,                0.41198,                0.43413,                0.96144,                0.94242,                 0.8864,                0.97702,                0.91695,                0.36863,                0.33824,                0.92226,              0.0015086,              0.0015086,              0.0015086
                     98,                0.42896,                0.46254,                0.97691,                0.86408,                0.93544,                0.96396,                0.90405,                0.35781,                0.40688,                0.92101,              0.0015069,              0.0015069,              0.0015069
                     99,                0.42667,                0.45359,                0.97612,                0.90493,                0.95369,                0.98156,                0.91409,                 0.4069,                0.34336,                0.93875,              0.0015053,              0.0015053,              0.0015053
                    100,                0.41622,                0.45628,                 0.9747,                0.90867,                0.91275,                0.97014,                0.90667,                0.37765,                0.36029,                0.93131,              0.0015036,              0.0015036,              0.0015036
                    101,                0.42321,                0.44283,                0.97647,                0.94846,                0.93757,                0.98106,                0.91357,                0.40351,                0.35091,                0.94179,               0.001502,               0.001502,               0.001502
                    102,                0.41574,                0.42716,                0.96729,                0.91967,                0.96295,                0.97085,                0.92466,                0.33607,                0.34573,                0.90644,              0.0015003,              0.0015003,              0.0015003
                    103,                0.41521,                0.42832,                0.96461,                0.92974,                0.97241,                 0.9766,                0.91839,                0.34097,                0.32361,                0.91161,              0.0014987,              0.0014987,              0.0014987
                    104,                0.41716,                0.42897,                0.97375,                0.90938,                0.97867,                0.97794,                0.92948,                0.32973,                0.33952,                0.90336,               0.001497,               0.001497,               0.001497
                    105,                0.40845,                0.43395,                0.96148,                0.95987,                0.92286,                0.98541,                0.92927,                0.35446,                0.31459,                0.90848,              0.0014954,              0.0014954,              0.0014954
                    106,                 0.4063,                0.43505,                0.96533,                0.92514,                0.97807,                0.98366,                0.92531,                0.35404,                0.29945,                0.91535,              0.0014937,              0.0014937,              0.0014937
                    107,                0.40905,                0.43962,                0.96691,                0.93707,                0.93263,                0.97726,                0.92152,                0.34426,                0.34417,                0.91651,              0.0014921,              0.0014921,              0.0014921
                    108,                0.40982,                0.45497,                0.97251,                0.90829,                0.98022,                0.97466,                  0.928,                0.36053,                0.31322,                0.92164,              0.0014904,              0.0014904,              0.0014904
                    109,                0.39942,                0.42241,                0.96388,                0.89248,                0.82663,                0.94405,                0.89669,                0.34393,                0.43816,                0.91856,              0.0014888,              0.0014888,              0.0014888
                    110,                0.41259,                0.44731,                0.97288,                0.94112,                0.95692,                0.98317,                0.93155,                0.34497,                0.33382,                0.91087,              0.0014871,              0.0014871,              0.0014871
                    111,                0.40198,                0.43625,                0.96661,                0.87135,                0.96216,                0.94715,                0.89928,                0.34094,                0.35804,                0.91185,              0.0014855,              0.0014855,              0.0014855
                    112,                  0.405,                 0.4193,                0.96146,                0.91305,                0.96256,                0.98281,                 0.9412,                0.33574,                0.32543,                0.90918,              0.0014838,              0.0014838,              0.0014838
                    113,                0.40561,                0.43126,                0.96456,                0.91023,                0.94468,                0.97629,                0.91805,                0.37199,                0.36373,                0.92601,              0.0014822,              0.0014822,              0.0014822
                    114,                0.40664,                0.42335,                 0.9658,                0.91936,                0.98388,                0.97486,                0.91928,                0.35843,                0.30828,                0.91437,              0.0014805,              0.0014805,              0.0014805
                    115,                0.39355,                0.41475,                0.95766,                0.95146,                0.93716,                0.98168,                0.93436,                 0.3348,                0.28417,                0.90454,              0.0014789,              0.0014789,              0.0014789
                    116,                0.39569,                0.41328,                0.95183,                 0.9373,                 0.9355,                0.97825,                0.92659,                0.32354,                0.31573,                0.90174,              0.0014772,              0.0014772,              0.0014772
                    117,                0.40121,                0.41612,                0.95855,                0.95883,                0.96626,                0.98741,                0.93565,                0.34121,                0.28528,                0.91318,              0.0014756,              0.0014756,              0.0014756
                    118,                0.40188,                0.41337,                0.95665,                0.95655,                0.93747,                0.98349,                0.93721,                0.33713,                0.29357,                0.91114,              0.0014739,              0.0014739,              0.0014739
                    119,                0.40866,                0.42332,                0.96095,                0.92201,                 0.8985,                0.96604,                0.90877,                0.34296,                0.34389,                0.90847,              0.0014723,              0.0014723,              0.0014723
                    120,                0.38726,                 0.4174,                0.96143,                0.92465,                0.95214,                0.97939,                 0.9373,                0.32386,                0.30169,                0.90099,              0.0014706,              0.0014706,              0.0014706
                    121,                 0.3862,                0.40857,                0.95265,                0.94983,                0.95531,                0.97913,                0.93947,                0.33418,                0.29705,                0.90138,               0.001469,               0.001469,               0.001469
                    122,                 0.3943,                0.41369,                0.95461,                0.93599,                0.92148,                0.97546,                0.92261,                0.35109,                0.34309,                 0.9114,              0.0014673,              0.0014673,              0.0014673
                    123,                0.38962,                0.40626,                0.95035,                 0.9635,                0.94834,                0.98392,                0.93542,                 0.3483,                0.30274,                0.91118,              0.0014657,              0.0014657,              0.0014657
