                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.65708,                0.76455,                0.99002,                 0.7262,                0.76295,                0.81483,                0.74012,                0.48358,                0.72559,                0.96175,              0.0016109,              0.0016109,              0.0016109
                     36,                0.61052,                0.73157,                0.97299,                0.87317,                0.79321,                0.90164,                0.80307,                0.50078,                0.62429,                 0.9517,              0.0016092,              0.0016092,              0.0016092
                     37,                 0.5996,                0.72336,                0.97708,                 0.8209,                0.87935,                0.90523,                0.82009,                0.45869,                0.56079,                 0.9436,              0.0016076,              0.0016076,              0.0016076
                     38,                0.59433,                0.68836,                0.96774,                0.83097,                0.88217,                0.91807,                0.80889,                0.54753,                0.54043,                0.96784,              0.0016059,              0.0016059,              0.0016059
                     39,                0.62018,                0.71808,                0.96797,                0.81002,                0.82307,                0.89553,                0.82001,                0.45668,                0.55534,                0.94119,              0.0016043,              0.0016043,              0.0016043
                     40,                0.61592,                0.69991,                0.96772,                0.89075,                0.83629,                0.94805,                0.86362,                0.45317,                0.53431,                0.94132,              0.0016026,              0.0016026,              0.0016026
                     41,                0.57064,                0.64917,                0.95703,                0.64613,                0.88823,                0.84855,                0.77845,                0.46697,                 0.6671,                 0.9394,               0.001601,               0.001601,               0.001601
                     42,                0.57318,                0.63977,                0.95716,                0.79701,                0.83964,                 0.9004,                0.82338,                0.44595,                0.61018,                0.91772,              0.0015993,              0.0015993,              0.0015993
                     43,                0.55949,                0.63697,                0.94694,                0.88542,                0.90762,                0.95267,                0.86435,                0.45049,                0.53905,                0.93383,              0.0015977,              0.0015977,              0.0015977
                     44,                0.55893,                0.61348,                0.94056,                0.80797,                0.83716,                0.93391,                0.85113,                0.45381,                0.61928,                0.93059,               0.001596,               0.001596,               0.001596
                     45,                 0.5653,                 0.6372,                0.94454,                0.77373,                0.80715,                0.91357,                0.83366,                 0.4249,                0.73625,                0.91007,              0.0015944,              0.0015944,              0.0015944
                     46,                0.55114,                0.62841,                0.93213,                0.78971,                0.76355,                0.84679,                 0.7707,                0.47813,                0.71836,                0.95522,              0.0015927,              0.0015927,              0.0015927
                     47,                0.54146,                0.60409,                0.94051,                0.88426,                0.84598,                0.94054,                0.87092,                0.41632,                0.50232,                0.90829,              0.0015911,              0.0015911,              0.0015911
                     48,                0.54499,                 0.5872,                 0.9323,                0.80195,                 0.8864,                0.93251,                0.84393,                0.46807,                0.55093,                0.92776,              0.0015894,              0.0015894,              0.0015894
                     49,                0.55381,                0.59885,                0.93356,                0.85401,                0.86279,                0.93254,                0.85517,                0.43267,                0.50054,                0.91902,              0.0015878,              0.0015878,              0.0015878
                     50,                0.56262,                0.59767,                0.94393,                0.87919,                0.80194,                0.90063,                0.82903,                0.42858,                0.56091,                0.91521,              0.0015861,              0.0015861,              0.0015861
                     51,                0.56118,                 0.5887,                0.94163,                0.88344,                0.92808,                0.94743,                0.85548,                0.50729,                0.47051,                 0.9442,              0.0015845,              0.0015845,              0.0015845
                     52,                0.53737,                0.58045,                0.92666,                 0.8991,                0.83869,                0.92303,                0.85854,                 0.4179,                0.49953,                0.91894,              0.0015828,              0.0015828,              0.0015828
                     53,                0.55867,                0.59687,                0.93203,                0.87135,                0.92257,                0.94849,                0.86559,                0.45364,                0.45113,                0.91797,              0.0015812,              0.0015812,              0.0015812
                     54,                0.53075,                0.60306,                0.93352,                0.89298,                0.87539,                0.95175,                 0.8826,                0.40307,                 0.4579,                0.90471,              0.0015795,              0.0015795,              0.0015795
                     55,                0.51277,                0.56306,                0.92752,                0.79165,                0.86951,                0.88262,                0.81591,                 0.4293,                0.54423,                0.90825,              0.0015779,              0.0015779,              0.0015779
                     56,                0.51295,                0.55906,                0.91432,                 0.8355,                0.88107,                0.90001,                0.83834,                0.38825,                0.47814,                0.89602,              0.0015762,              0.0015762,              0.0015762
