                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.54259,                0.64802,                 0.9624,                0.86847,                0.89127,                0.93829,                0.85036,                 0.4726,                0.53101,                0.94316,              0.0016109,              0.0016109,              0.0016109
                     36,                0.53646,                0.65958,                0.95272,                0.81675,                0.91126,                0.90611,                0.81492,                 0.4739,                0.54448,                0.94934,              0.0016092,              0.0016092,              0.0016092
                     37,                0.55886,                0.65355,                0.95805,                0.86591,                0.92528,                0.93897,                0.84605,                0.46462,                0.51097,                0.94504,              0.0016076,              0.0016076,              0.0016076
                     38,                0.53852,                 0.6381,                0.94867,                0.79948,                0.92821,                0.91768,                0.84306,                0.44172,                0.52793,                0.92424,              0.0016059,              0.0016059,              0.0016059
                     39,                0.56248,                0.63418,                 0.9535,                0.84456,                0.91019,                0.93925,                0.86042,                0.40995,                0.54712,                0.90731,              0.0016043,              0.0016043,              0.0016043
                     40,                0.51667,                0.62103,                 0.9378,                0.90326,                0.88153,                0.95307,                0.87842,                 0.3982,                0.46586,                0.90094,              0.0016026,              0.0016026,              0.0016026
                     41,                0.50493,                0.58441,                0.92996,                 0.8399,                 0.9436,                0.94096,                0.86882,                0.41559,                0.46341,                0.90434,               0.001601,               0.001601,               0.001601
                     42,                0.51316,                0.59753,                0.93762,                0.82393,                0.91242,                0.93934,                0.85623,                0.44647,                0.56638,                0.92092,              0.0015993,              0.0015993,              0.0015993
                     43,                0.49377,                0.58944,                0.92352,                0.88609,                0.89696,                0.95403,                  0.884,                0.40019,                 0.4553,                0.89925,              0.0015977,              0.0015977,              0.0015977
                     44,                0.50134,                0.55797,                0.91973,                0.86398,                0.84598,                0.90634,                0.83927,                0.42412,                0.52935,                0.91376,               0.001596,               0.001596,               0.001596
                     45,                0.51109,                 0.5934,                0.92797,                 0.8712,                0.87151,                0.94598,                0.86092,                0.42893,                0.52946,                0.91785,              0.0015944,              0.0015944,              0.0015944
                     46,                0.50925,                 0.5682,                0.92221,                0.85258,                0.93227,                0.95244,                0.88513,                0.39235,                 0.3964,                0.89863,              0.0015927,              0.0015927,              0.0015927
                     47,                0.49838,                0.55764,                0.92273,                0.93364,                 0.8814,                0.94364,                0.86971,                0.42522,                0.42553,                0.91614,              0.0015911,              0.0015911,              0.0015911
                     48,                 0.4834,                0.54856,                0.91161,                0.88735,                0.87189,                0.94006,                0.87512,                0.38316,                0.48344,                0.89751,              0.0015894,              0.0015894,              0.0015894
                     49,                0.47884,                0.55363,                0.91483,                0.87814,                0.93469,                 0.9707,                0.91028,                0.38051,                0.43826,                0.89472,              0.0015878,              0.0015878,              0.0015878
                     50,                0.48624,                0.54927,                0.91887,                0.91435,                0.93304,                0.96966,                 0.8963,                0.41269,                0.40622,                 0.9068,              0.0015861,              0.0015861,              0.0015861
                     51,                0.48194,                 0.5359,                0.91611,                0.89004,                0.94278,                0.95273,                 0.8828,                 0.4024,                0.40085,                0.90193,              0.0015845,              0.0015845,              0.0015845
                     52,                0.48204,                0.52564,                0.90783,                0.89183,                0.86325,                0.95292,                0.88383,                0.38589,                0.44277,                0.89638,              0.0015828,              0.0015828,              0.0015828
                     53,                0.48209,                0.52527,                0.90935,                0.92528,                0.88457,                  0.957,                0.89778,                0.37213,                0.40585,                0.88895,              0.0015812,              0.0015812,              0.0015812
                     54,                0.47933,                0.54194,                0.91516,                 0.8551,                0.92677,                0.95484,                0.89613,                 0.3635,                0.44606,                0.88251,              0.0015795,              0.0015795,              0.0015795
                     55,                0.46331,                0.50101,                0.90825,                0.93048,                0.93535,                0.97175,                0.90918,                0.36482,                0.36009,                0.88501,              0.0015779,              0.0015779,              0.0015779
                     56,                0.47055,                0.49728,                0.90222,                0.86081,                0.95994,                0.96171,                0.89517,                 0.3962,                0.40295,                0.89404,              0.0015762,              0.0015762,              0.0015762
                     57,                0.47309,                0.50913,                0.90666,                0.90219,                 0.9375,                0.97229,                0.88931,                 0.4182,                 0.4092,                0.90233,              0.0015746,              0.0015746,              0.0015746
                     58,                0.46585,                0.50447,                 0.9042,                0.93033,                 0.9584,                0.97423,                0.90817,                 0.3815,                0.37415,                0.89021,              0.0015729,              0.0015729,              0.0015729
                     59,                0.46297,                0.51282,                 0.9049,                0.87684,                0.96622,                0.96415,                0.89343,                0.40661,                0.41342,                0.90576,              0.0015713,              0.0015713,              0.0015713
                     60,                0.45736,                0.49366,                0.90377,                0.91725,                0.93863,                0.97515,                0.90174,                0.39643,                0.39594,                0.89373,              0.0015696,              0.0015696,              0.0015696
                     61,                0.43979,                0.48072,                0.88673,                0.91867,                0.93724,                0.96999,                0.89791,                0.39535,                0.38048,                0.89489,               0.001568,               0.001568,               0.001568
                     62,                0.47269,                0.50824,                0.90974,                0.88514,                 0.8503,                0.93874,                0.85703,                0.42981,                0.49633,                0.91011,              0.0015663,              0.0015663,              0.0015663
                     63,                0.46777,                0.49675,                0.90503,                0.91807,                0.93986,                0.96005,                 0.8685,                0.46125,                0.40807,                0.91716,              0.0015647,              0.0015647,              0.0015647
